country,region,Antisemitism Index,"Population, total","Population, female (% of total)","Population, male (% of total)",GDP per capita (current US$),Internet users (per 100 people),"Labor force, female (% of total labor force)",Official entrance age to pre-primary education (years),"Unemployment, total (% of total labor force)","Unemployment, female (% of female labor force)",Democracy Index
Dominican Republic,Latin America,41.0,9889606.76923077,50.08167998409657,49.91832001590343,5170.392416356903,32.62597202776923,39.301714263373405,3.0,13.784615296583906,21.061538402850815,66.7
"Egypt, Arab Rep.",Muslim-majority,75.0,84783117.53846154,49.51291495289968,50.48708504710032,2433.1349063875246,23.561369232307694,22.789905752356354,4.0,11.069230739886935,23.869230857262245,31.6
Estonia,Eastern/Central/Southern Europe,22.0,1332496.923076923,53.40278236614032,46.59721763385967,15739.383537435739,73.56268443461538,48.92587481422936,3.0,8.900000095367435,7.8692308756021365,77.4
Finland,Western Europe/North America,15.0,5363248.615384615,50.92222589228125,49.07777410771876,45869.754102615625,83.93235145538462,48.11980914729157,3.0,8.230769084050106,7.876923047579254,90.3
France,Western Europe/North America,37.0,64960359.538461536,50.90994229372617,49.09005770627383,39860.494609814996,69.98203837999999,46.43279605611757,3.0,9.33846150911772,9.584615450638996,80.39999999999999
Georgia,Eastern/Central/Southern Europe,32.0,3940492.3076923075,52.51008997652483,47.48991002347517,3088.51034026569,25.851073296769226,46.12560993780154,3.0,14.13076921609731,12.630769216097317,58.2
Germany,Western Europe/North America,27.0,81700080.46153846,50.97657873666735,49.02342126333265,41937.32923614824,79.30591527692307,45.59605497130262,3.0,7.161538380842933,6.892307666631842,86.4
Ghana,Sub-Saharan Africa,15.0,24539228.076923076,50.291320739959524,49.708679260040476,1221.9104706422781,11.835597048307692,49.618643825488206,3.923076923076923,5.415384512681228,5.715384703416088,63.3
Greece,Eastern/Central/Southern Europe,69.0,10991742.0,50.658756291746734,49.34124370825328,24196.69623516836,46.482246467692306,41.93982561678616,4.0,16.34615377279429,20.592307750995364,74.5
Guatemala,Latin America,36.0,14655221.846153846,50.88246735543226,49.117532644567746,2973.150346198282,14.41655905,35.04218559079759,5.0,2.884615384615385,3.699999992664044,58.099999999999994
Haiti,Latin America,26.0,9992565.0,50.5659305648357,49.4340694351643,667.8599227234959,8.851828125692307,47.55898198227251,3.0,14.515384527353131,16.661538637601417,38.199999999999996
Hungary,Eastern/Central/Southern Europe,41.0,9976526.692307692,52.52737311776787,47.47262688223212,12991.836820270732,61.08162960076923,45.71633653056558,3.0,8.361538446866543,8.384615384615376,69.0
Iceland,Western Europe/North America,16.0,316465.92307692306,49.75109683700891,50.24890316299109,51281.630056156464,93.11971558846153,47.04167865112027,3.0,4.5846153772794285,4.192307655627911,95.8
India,Asia,20.0,1228481527.2307692,48.15085288258353,51.84914711741647,1215.8556866511913,10.95514885823077,26.08540164985906,3.0,3.8000000256758475,4.346153827813955,79.2
Indonesia,Muslim-majority,48.0,242477714.6153846,49.65655758466898,50.34344241533102,2721.8929857431704,11.441018937461537,37.599604110504785,5.0,7.784615333263691,9.161538490882283,69.5
"Iran, Islamic Rep.",Muslim-majority,56.0,74756004.53846154,49.347790078213585,50.652209921786415,5345.218179932354,21.933211423846153,18.27458532279992,5.0,11.407692395723785,17.899999985328087,19.8
Iraq,Muslim-majority,92.0,31222555.384615384,49.43866108455317,50.56133891544683,4399.926758662719,6.246334172615385,18.91416057426354,4.0,16.584615340599637,27.146153523371762,42.300000000000004
Ireland,Western Europe/North America,20.0,4485917.153846154,50.20573601548803,49.79426398451197,54736.35542470497,66.8606223123077,43.62661395135898,3.923076923076923,9.315384608048658,7.33076919042147,87.2
Italy,Eastern/Central/Southern Europe,20.0,59285387.615384616,51.371658929131435,48.628341070868565,34805.545286592765,49.06490340307693,41.01251010870055,3.0,9.138461406414315,10.615384688744179,78.5
Jamaica,Latin America,18.0,2812175.230769231,50.36372154548796,49.63627845451204,4662.070497259458,28.60173613076923,43.07910360180262,3.0,12.123076805701613,16.169230827918433,73.89999999999999
Japan,Asia,23.0,127683654.6923077,51.07624736056409,48.92375263943591,39924.19827696064,78.68038999153846,41.78869494000825,3.0,4.169230754558857,3.8923076849717355,80.8
Jordan,Muslim-majority,81.0,7328911.307692308,48.92570980323864,51.07429019676135,3387.9615684293576,32.04425211307692,16.90827734535093,4.0,13.338461509117716,24.369230710543107,37.599999999999994
Kazakhstan,Muslim-majority,32.0,16311865.692307692,51.683545671498685,48.316454328501315,8646.201302248299,35.101241563076925,48.84484529609909,3.0,6.276923106266901,7.330769318800706,31.7
Kenya,Sub-Saharan Africa,35.0,41513795.615384616,50.30180408461536,49.69819591538464,987.0073276630897,9.878878903384615,47.641687330811344,3.0,11.53846146510197,13.792307633620037,51.3
Kuwait,Muslim-majority,82.0,3060800.923076923,41.931144245591945,58.068855754408055,40765.92840493719,54.83954937076923,27.502685794290333,4.0,2.4230769139069768,2.184615391951341,37.8
